Class,.id,SYMBOL,Process.category,Description,释义,Number.of.founder.sets,Number.of.genes
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Mccc1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Mdh2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Me1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Me3,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Me2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Mgll,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Mgst3,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Miga2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Mrap,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Mrpl15,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Mtarc2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Mtarc1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Mtch2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Mylk,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Nabp1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Nabp2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Ndufa5,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Ndufab1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Ndufab1-ps,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Ndufb7,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Ndufs3,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Nkiras1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Nmt1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Nmt2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Omd,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Orm1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Orm2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Orm3,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Pdcd4,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Pemt,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Pex14,Development,Adipocyte development,脂肪细胞的发育,36,200
